0000_00.00.07.640-00.00.09.050	In 1989, 
0047_00.03.12.410-00.03.19.290	Anakin vows to become a Jedi one day and will find a way to free his mother.
0047_00.03.19.290-00.03.23.900	With their ship repaired, they travel to the galactic capital of Coruscant 
0047_00.03.23.900-00.03.29.540	so Queen Amidala can plead for aid for Naboo before the Galactic Senate.
0047_00.03.29.540-00.03.32.140	Under the recommendation of Naboo Senator, Palpatine,
0047_00.03.32.140-00.03.35.440	Queen Amidala issues a vote of no confidence
0047_00.03.35.440-00.03.38.410	 for the current Chancellor, the leader of the Galactic Republic.
0047_00.03.38.410-00.03.46.310	While she is doing this, Qui-Gon takes Anakin before the Jedi Council to request that he be trained as a Jedi.
0047_00.03.46.310-00.03.51.470	The Council feels that he is too concerned with his emotions and he has potential to be swayed to the dark side of The Force.
0047_00.03.51.470-00.03.54.330	Qui-Gon vows however, to train Anakin himself.
0047_00.03.54.335-00.03.57.965	Queen Amidala is frustrated with the corruption in the Senate and cannot wait for the vote of no confidence to go through,
0047_00.03.57.965-00.04.04.335	so she returns back to the planet of Naboo with a Jedi.
0047_00.04.04.340-00.04.10.980	The hand maiden, Padme, reveals that she is actually Queen Amidala,
0047_00.04.10.980-00.04.13.600	and the actual Queen has actually been involved in the film much more than the audience had initially thought.
0047_00.04.13.610-00.04.17.070	They enlist the aid of the Gungans,
0047_00.04.17.070-00.04.20.310	who now want to aid in defeating in the droid army.
0047_00.04.20.315-00.04.23.455	It's a three-part attack, with the Gungans attacking the droids on land, 
0047_00.04.23.455-00.04.27.365	 the Naboo army attacking the Federation control ships in space,
0047_00.04.27.365-00.04.31.525	and the Jedis and Padme capturing the Viceroy.
0047_00.04.31.525-00.04.33.355	Anakin ends up getting into a Starfighter 
0047_00.04.33.355-00.04.36.865	and destroys one of the Droid control ships,
0047_00.04.36.865-00.04.43.415	while Qui-Gon and Obi-Wan battle against Darth Maul, Darth Sidious' Sith apprentice.
0047_00.04.43.415-00.04.46.245	Darth Maul ends up killing Qui-Gon,
0047_00.04.46.245-00.04.49.570	and Obi-Wan kills Darth Maul.
0047_00.04.49.570-00.04.53.850	Obi-Wan now pledges to train Anakin in the ways of the Jedi.
0047_00.04.53.850-00.04.55.680	Viceroy Gunray is captured,
0047_00.04.55.680-00.04.59.690	Senator Palpatine is elected to the Supreme Chancellor, 
0047_00.04.59.690-00.05.06.980	and a large celebration happens on Naboo, now that they are free from the Trade Federation, which ends the film.
0048_00.00.25.765-00.00.29.945	The film takes place 10 years after Episode One, with the Galactic Republic facing a new group
0048_00.00.29.945-00.00.32.475	 facing a new group known as the Separatist Movement,
0048_00.00.32.475-00.00.36.060	led by the Sith Lord, Count Dooku.
0048_00.00.36.060-00.00.41.580	Senator Padme does to Coruscant to vote for a plan to create an army to assist the Jedi against the Separatist Movement.
0048_00.00.41.590-00.00.47.030	After avoiding an assassination attempt, 
0048_00.00.47.030-00.00.52.080	Padme is put under the protection of Obi-Wan Kenobi and apprentice Anakin Skywalker.
0048_00.00.52.080-00.00.54.800	A second assissination attempt occurs.
0048_00.00.54.805-00.00.59.175	Obi-Wan and Anakin capture the would-be assassin,
0048_00.00.59.175-00.01.03.220	however, she is assassinated by another bounty hunter with a toxic dart.
0048_00.01.03.220-00.01.08.650	Obi-Wan takes the poisonous dart to be analyzed and identified to capture the other bounty hunter,
0048_00.01.08.650-00.01.11.610	while Anakin escorts Padme back to Naboo, 
0048_00.01.11.610-00.01.15.490	where the two of them fall in love, which is forbidden by the Jedi way.
0048_00.01.15.495-00.01.18.615	Obi-Wan's investigation takes him to the planet of Kamino,
0048_00.01.18.615-00.01.27.310	where he discovers that a clone army is being produced for the Galactic Republic.
0048_00.01.27.310-00.01.28.580	UNMATCHED:  However, it is unclear who commissioned or approved of their production as it was never voted on.
0048_00.01.28.585-00.01.33.165	Obi-Wan finds the bounty hunter, Jango Fett, who was used for the original for the clone army,
0048_00.01.33.165-00.01.39.540	and is also the same bounty hunter who took out the assassin that attempted to kill Padme.
0048_00.01.39.540-00.01.44.100	Jango kept one of the clones for himself, named him Boba, which he wants to raise as his own son.
0048_00.01.44.100-00.01.48.940	Obi-Wan follows Jango and Boba to the desert planet of Geonosis.
0048_00.01.48.940-00.01.52.980	Meanwhile, Anakin has visions of his mother, Shmi, being in pain
0048_00.01.52.980-00.01.57.770	and travels with Padme to his home world to save her.
0048_00.01.57.770-00.02.00.620	When he arrives, Anakin meets his mother's new husband, Cllegg Lars,
0048_00.02.00.620-00.02.04.120	as well as his step brother, Owen Lars.
0048_00.02.04.120-00.02.09.870	Anakin's new step family informs him that his mother, Shmi, has been kidnapped by Tusken Raiders a few weeks earlier.
0048_00.02.09.875-00.02.13.005	Anakin travels into the wilderness,
0048_00.02.13.005-00.02.15.655	finds the Tusken campsite,
0048_00.02.15.655-00.02.17.945	finds his tortured and injured mother,
0048_00.02.17.945-00.02.20.430	who eventually dies from her wounds.
0048_00.02.20.430-00.02.21.130	Anakin becomes enraged
0048_00.02.21.130-00.02.24.590	and kills all the Tusken Raiders at the camp, including their children.
0048_00.02.24.590-00.02.28.230	Anakin then returns to his step family with his mother's body 
0048_00.02.28.230-00.02.31.510	and admits to Padme what he did 
0048_00.02.31.510-00.02.34.070	and says they will find a way to learn how to prevent death.
0048_00.02.34.075-00.02.42.025	Back on Geonosis, Obi-wan discovers the Separatists and Count Dooku are behind the assassination attempts on Padme
0048_00.02.42.025-00.02.43.995	and are now creating a massive battle droid army
0048_00.02.43.995-00.02.47.195	with the Viceroy Gunray, the leader of the Trade Federation from the first film.
0048_00.02.47.195-00.02.50.585	Obi-wan has his findings relayed to the Jedi Council
0048_00.02.50.585-00.02.53.990	and is captured by the Separatists.
0048_00.02.53.990-00.02.58.510	Supreme Chancellor Palpatine of the Galactic Empire is voted emergency powers,
0048_00.02.58.510-00.03.02.780	which allows him to use the clone army to send them into battle against the Separatists.
0048_00.03.02.780-00.03.06.640	Anakin and Padme travel to Geonosis to rescue Obi-Wan,
0048_00.03.06.640-00.03.09.350	but are also captured.
0048_00.03.09.350-00.03.15.550	Obi-Wan, Anakin and Padme are all sentenced to death in a Gladiator or Coliseum fashion.
0048_00.03.15.550-00.03.19.670	They are rescued, however, by the Jedi Council and the Clone Army,
0048_00.03.19.670-00.03.22.360	and a battle breaks out between the clones and the droids.
0048_00.03.22.365-00.03.26.235	Anakin and Obi-Wan engage Count Dooku in a fight,
0048_00.03.26.235-00.03.28.405	where Obi-Wan is injured
0048_00.03.28.405-00.03.31.625	and Anakin loses his right arm.
0048_00.03.31.625-00.03.37.175	Jedi Master Yoda, one of the oldest members of the Jedi Council, battles Dooku,
0048_00.03.37.175-00.03.38.465	but Dooku escapes.
0048_00.03.38.465-00.03.40.585	Dooku flees to Coruscant, 
0048_00.03.40.585-00.03.44.920	where he delivers the plans for a super weapon to his Sith Master, Darth Sidious.
0048_00.03.44.920-00.03.52.060	Darth Sidious, the same Sith Lord from the first film, confirms that everything is going according to plan.
0048_00.03.52.060-00.03.55.770	The Jedi announce that this is the beginning of the Clone Wars 
0048_00.03.55.770-00.03.59.130	and that they will be battling the Separatists for a long time to come.
0048_00.03.59.130-00.04.01.490	Anakin gets a robotic arm
0048_00.04.01.490-00.04.04.860	and secretly marries Padme on Naboo, ending the film.
0049_00.00.26.975-00.00.31.245	The film opens with the Galactic Republic and the separatists still at war, 
0049_00.00.31.245-00.00.36.395	with Obi-Wan and Anakin fighting a space battle above the planet of Coruscant,
0049_00.00.36.395-00.00.38.900	in a mission to rescue the kidnapped Supreme Chancellor Palpatine.
0049_00.00.38.900-00.00.44.865	Palpatine is being held by the Separatists' commander, General Grievous.
0049_00.00.44.865-00.00.47.045	The Jedi battle the Sith Count Dooku,
0049_00.00.47.045-00.00.50.345	and the fight ends with Anakin killing Dooku
0049_00.00.50.345-00.00.51.610	upon Palpatine's command.
0049_00.00.51.610-00.00.56.010	General Grievous flees the nearly destroyed ship, 
0049_00.00.56.020-00.00.57.780	which the Jedi crash-land on Coruscant.
0049_00.00.57.790-00.01.02.990	Anakin is then reunited with his wife, Padme, who reveals she is pregnant.
0049_00.01.02.990-00.01.08.230	Anakin begins to have premonitions about her dying in childbirth, which begins to consume him.
0049_00.01.08.230-00.01.15.100	Palpatine appoints Anakin to be on the Jedi Council, which is not a normal thing to do, because Palpatine wants Anakin to represent him on the Council.
0049_00.01.15.100-00.01.23.370	The Council is not happy about this and the Council urges Anakin to monitor Palpatine, as they feel something is not right about him.
0049_00.01.23.370-00.01.33.650	Anakin starts to become unsure about the Jedi's faith and is further pushed as Palpatine tells Anakin about the powers of the Dark Side, even in preventing death.
0049_00.01.33.650-00.01.40.060	Eventually, Palpatine reveals himself as the Sith Lord, Darth Sidious, 
0049_00.01.40.060-00.01.43.830	showing that he has been orchestrating the events of the past films and actually directing both sides of the war; 
0049_00.01.43.830-00.01.48.000	being Supreme Chancellor Palpatine, the head of the Galactic Republic, on one side, 
0049_00.01.48.000-00.01.52.710	as well as Darth Sidious, the secret head of the Separatists on the other side.
0049_00.01.52.715-00.01.55.815	Anakin reports this to the Jedi Council, 
0049_00.01.55.815-00.01.59.850	and Mace Windu, one of the most powerful Jedi, begins to battle Palpatine.
0049_00.01.59.850-00.02.02.880	Palpatine's Force Lightning is back fired upon himself
0049_00.02.02.880-00.02.04.690	and he becomes horribly disfigured 
0049_00.02.04.690-00.02.14.430	and is just about to be defeated by Mace, when Palpatine though convinces Anakin that he knows a secret way to save Padme from dying in childbirth
0049_00.02.14.430-00.02.16.000	and Anakin kills Mace Windu.
0049_00.02.16.005-00.02.19.935	Anakin pledges himselff to Palpatine 
0049_00.02.19.935-00.02.21.660	and Palpatine dubs Anakin now as Darth Vader.
0049_00.02.21.660-00.02.25.500	Palpatine issues Order 66 to the clone troppers,
0049_00.02.25.500-00.02.28.230	a secret order to kill all the Jedi,
0049_00.02.28.230-00.02.31.350	and sends Anakin, now Darth Vader, to the Jedi Temple to kill all of the Jedi there, 
0049_00.02.31.350-00.02.34.850	including very young children Jedis.
0049_00.02.34.860-00.02.37.910	Obi-Wan and Yoda survived the attack, however, but all other Jedi's are killed.
0049_00.02.37.910-00.02.44.160	Vader is sent now to kill the remaining leaders of the Separatists Union
0049_00.02.44.160-00.02.46.360	on the volcanic planet of Mustafar,
0049_00.02.46.360-00.02.53.920	while Palpatine announces to the Senate that the government will now be reformed into the Galactic Empire, declaring himself Emperor.
0049_00.02.53.920-00.02.57.610	Yoda and Obi-Wan discover what Anakin did at the Jedi Temple and are horrified,
0049_00.02.57.610-00.03.00.410	and tell Padme what Anakin did.
0049_00.03.00.415-00.03.03.235	Padme leaves for Mustafar to confront Anakin 
0049_00.03.03.235-00.03.06.415	and Obi-Wan hides aboard the craft.
0049_00.03.06.415-00.03.09.505	Padme arrives to meet Anakin,
0049_00.03.09.505-00.03.10.550	and Obi-Wan reveals himself.
0049_00.03.10.550-00.03.15.060	Anakin believes that Padme has betrayed him, so he begins to force choke her.
0049_00.03.15.065-00.03.19.185	Obi-Wan and Anakin fight, 
0049_00.03.19.185-00.03.21.760	and Anakin is severely maimed and defeated.
0049_00.03.21.760-00.03.24.200	Anakin becomes significantly burned by a volcanic river
0049_00.03.24.200-00.03.26.570	and Obi-Wan leaves with Padme.
0049_00.03.26.570-00.03.28.870	Padme gives birth to two twins, Luke and Leia,
0049_00.03.28.870-00.03.31.740	and dies shortly after.
0049_00.03.31.740-00.03.36.360	Obi-Wan and Yoda decide to hide the twins from the Empire, separating them.
0049_00.03.36.365-00.03.39.045	Senator Bail Organa adopts Leia,
0049_00.03.39.045-00.03.42.485	and takes her to the planet of Alderaan.
0049_00.03.42.490-00.03.50.440	They send Luke to live with his step uncle, Owen Lars, back on the planet of Tatooine, that we saw in the second film, where Obi-Wan will watch over Luke.
0049_00.03.50.440-00.03.52.660	Palpatine recovers Anakin
0049_00.03.52.660-00.03.56.355	and his body is repaired with a cybernetic suit.
0049_00.03.56.355-00.03.59.425	Palpatine informs Vader of Padme's death,
0049_00.03.59.425-00.04.02.900	which he is devastated by.
0049_00.04.02.900-00.04.08.640	As the film concludes, we see the Empire is overseeing construction of the super weapon discussed in the second film, the Death Star.
0050_00.00.31.180-00.00.38.020	The film takes place 20 years after the events of Episode 3, with the Galactic Empire ruling most of the Galaxy.
0050_00.00.38.030-00.00.40.680	 having stolen plans for the Empire's super weapon and space station, the Death Star.
0050_00.00.40.680-00.00.42.290	having stolen plans
0050_00.00.42.290-00.00.44.300	 for the Empire's super weapon and space station, the Death Star.
0050_00.00.44.300-00.00.46.980	Princess Leia, one of the leaders of the Rebels, has the plans with her
0050_00.00.46.980-00.00.49.780	when her ship is boarded by Imperial forces,
0050_00.00.49.780-00.00.52.590	led by Darth Vader.
0050_00.00.52.595-00.00.54.365	Leia is able to hide the plans in the droid R2D2
0050_00.00.54.365-00.00.59.935	and sends R2D2 and C3PO to the desert planet of Tatooine
0050_00.00.59.935-00.01.02.490	to meet with Obi-Wan Kenobi.
0050_00.01.02.490-00.01.06.875	Leia is then captured by Vader and taken into his custody.
